,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
199406,-4.36,-1.45,-2.11,-1.69,-3.33,-3.04,-1.61,-2.14,-3.48,-6.11
199407,3.51,3.33,2.49,3,2.29,5.31,3.9,1.75,2.13,2.56
199408,5.43,4.98,2.88,3.06,2.2,4.34,4.14,5.75,5.62,8.47
199409,-1.18,-2.35,-2.57,-2.81,-2.16,-1.42,-2.76,-2.14,-1.93,0.77
199410,-0.69,2.07,1.15,2.74,2.12,1.89,0.84,0.77,2.34,3
199411,-3.17,-2.98,-2.04,-3.67,-4.67,-3.74,-3.52,-2.47,-4.44,-5.31
199412,-1.95,-1.16,1,-0.21,1.75,2.57,1.74,0.61,2.39,1.76
199501,1.68,1.93,4.21,3.74,2.71,1.78,3.73,2.8,0.94,-1.78
199502,3.18,5.03,4.84,5.53,3.06,4.54,3.93,3.5,2.96,4.32
199503,0.37,3.45,3.17,3.07,2.25,1.94,2.28,2.53,2.06,3.97
199504,2.74,0.83,0.12,1.47,1.85,2.49,2.64,2.89,2.53,4.68
199505,2.77,3.52,4.2,3.69,3.12,4.45,3.52,4.14,2.83,2.66
199506,7.13,1.72,2.67,2.47,1,1.6,1.14,2.4,3.82,7.24
199507,5.79,4.23,2.86,3.21,4.11,3.04,4.13,2.05,4.55,6.55
199508,1.17,-0.44,2.3,2.21,0.68,1.64,1.4,-0.13,0.72,0.76
199509,-1.69,1.9,2.06,4.27,2.6,3.82,4.28,4.74,5.71,3.28
199510,-7.38,-7.32,-3.4,-3.81,-1.09,-0.88,0.34,0.29,0.22,-0.33
199511,4.91,7.65,5.02,5.64,5.43,4.17,4.09,5.26,4.02,1.31
199512,-2.49,-0.61,1.02,1.95,2.19,2.89,1.68,2.15,2.78,-1.39
199601,0.17,1.72,1.61,0.69,1.18,1.82,4.01,3.1,3.98,2.7
199602,4.33,2.31,1.1,1.86,0.79,1.72,-0.01,1.2,3.14,3.57
199603,4.39,3.4,2.99,2.27,1.28,0.81,1.36,0.79,0.19,0.46
199604,10.27,3.62,5.6,3.05,1.71,0.28,0.67,1.68,0.5,6.36
199605,1,3.35,2.69,3.18,1.68,1.48,2.13,3.82,2.3,5.14
199606,-6.8,-2.94,-1.17,0.73,-1.81,-0.08,1.72,1.29,-1.67,-4.11
199607,-11.41,-7.34,-6.1,-3.88,-5.3,-4.2,-3.45,-4.43,-4.7,-10.86
199608,4.58,4.28,5.14,3.05,4.34,2.84,1.77,2.95,1.67,5.77
199609,5.11,2.86,3.33,5.04,3.63,4.02,5.44,5.41,6.58,8.02
199610,-7.8,-4.07,-0.49,2.65,1.48,4.21,2.63,3.7,2.92,-1.03
199611,11.88,8.41,4.99,6.88,6.84,5.91,8.92,6.78,6.64,1.6
199612,0.72,-1.08,-0.29,0.41,-0.63,-0.71,-2.63,-2.07,-2.74,0.88
199701,3.08,2.05,4.43,3.16,3.07,4.02,5.45,7.78,6.14,9.11
199702,-2.93,0.21,0.66,1.69,1.2,0.95,2.78,0.68,-2.22,-6.84
199703,-7.62,-4.16,-3.62,-5.22,-2.83,-2.63,-5.02,-3.42,-6.29,-4.57
199704,-2.7,1.53,-0.17,1.52,2.62,2.89,5.95,6.85,6.96,8.94
199705,17.42,12.33,10.83,6.4,6.13,6.68,5.81,7.01,5.33,6.14
199706,1.56,1.87,6.05,3.66,2.61,3.99,3.9,4.36,5.9,4.52
199707,4.08,4.67,5.25,7.64,4.57,8.51,5.76,6.7,7.46,15.24
199708,1.48,1.43,-2.09,-2.34,-2.57,-3.27,-4.22,-6.57,-6.73,-2.7
199709,4.08,6.93,5.22,4.69,4.99,6.68,5.07,4.94,6.24,6.91
199710,-5.93,-4.87,0.43,-3.61,-1.49,-3.71,-2.61,-3.25,-1.72,-7.85
199711,-1.38,2.58,5.09,5.56,3.19,4.65,4.74,3.31,1.57,1.38
199712,-2.84,-0.03,2.03,2.38,1.42,1.2,3.36,5.4,0.72,1.43
199801,-0.02,-0.47,-0.54,-1.28,0.79,-0.78,2.22,-0.51,1.27,2.67
199802,8.49,8.67,7.93,7.94,7.5,8.79,5.21,6.38,6.43,9.86
199803,4.48,2.71,4.42,3.68,5.08,5.48,5.04,6.13,5.55,6.52
199804,4.56,-0.77,0.47,0.27,1.8,-1.08,0,2.1,0.43,5.51
199805,-8.29,-4.51,-2.72,-2.56,-2.09,-1.76,-2.22,-2.61,0.09,-3.49
199806,-3.75,-1.28,0.39,1.67,0.66,2.15,7.23,3.22,5.36,9.66
199807,-7.25,-5.46,-1.73,-2.57,-4.18,-4.06,-0.69,-1.58,-1.08,0.93
199808,-21.61,-18.9,-12.85,-14.66,-17.67,-16.1,-14.15,-13.82,-13.73,-16.89
199809,14.16,8.57,8.26,9.35,6.92,5.75,3.68,6.85,3.51,8.61
199810,13.15,11.39,9.85,8.59,6.49,10.92,8.24,9.45,7.82,4.1
199811,3.81,2.91,8.96,7.71,5.95,6.74,4.08,6.76,5.16,7.54
199812,-0.78,0.91,-2.23,-1.32,1.86,1.86,4.34,4.47,5.91,13.01
199901,2.04,1.63,-1.27,-1.57,1.99,-0.39,1.33,1.27,0.63,9.05
199902,-7.01,-5.57,-3.69,-2.21,-4.54,-0.58,-2.78,-2.17,-4.97,-4.68
199903,10.35,3.33,2.63,2.54,3.07,-0.45,2.27,2.5,2.61,5.77
199904,17.95,12.92,14.47,11.93,11.97,9.94,5.73,10.68,4.07,-0.87
199905,7.46,4.55,3.75,1.16,-0.25,0.07,-0.5,-0.93,-3.33,-3.07
199906,1.53,5.04,2.01,1.34,0.86,-0.02,3.67,1.32,5.5,8.54
199907,-4.3,-5.04,-1.74,-3.63,-3.37,-2.93,-4.96,-4.13,-2.24,-1.82
199908,-5.34,-4.66,-2.07,-3.54,-2.06,-1.22,-2.11,0.25,-1.93,0.9
199909,-6.33,-4.87,-10.12,-6.88,-6.55,-3.75,-1.79,-0.41,-1.55,0.22
199910,-3.93,1.1,1.24,4.89,9.58,5.21,4.82,7.9,7.39,6.65
199911,2.68,4.52,-1.1,-1.46,-2.65,-0.73,0.71,0.02,1.05,10.57
199912,-0.28,2.2,-2.63,-3.81,-1.08,-2.72,-4.88,3.19,3.2,21.79
200001,-4.48,-2.98,-5.79,-3.88,-2.61,-0.71,-1.86,-3.11,-8.9,-2.71
200002,-3,-6.82,-8.81,-6.23,-10.6,-3.34,-6.2,-3.36,-2.33,20.81
200003,8.2,13.79,14.2,9.14,9.07,12.07,11.45,7.62,13.18,-0.67
200004,-2.32,0.6,4.32,2.35,-0.59,-2.73,-12.02,-0.93,-4.13,-8.66
200005,1.14,5.19,5.9,4.42,-1.17,1.88,2.59,-3.97,-2.37,-11.62
200006,-5.14,-5.47,-5.5,-2.73,6.84,-3.49,-3.23,2.88,3.32,13.23
200007,-4.7,0.96,-6.1,0.09,-3.87,-0.53,-0.34,1.21,-0.4,-3.24
200008,6.95,8.02,3.36,4.28,3.2,4.72,2.41,5.02,5.42,13.87
200009,-12.49,-1.68,-7.67,3.5,-2.69,2.72,2.36,0.48,-1.26,-11.78
200010,-8.25,4.96,2.67,7.79,1.1,0.84,0.17,-1.21,-2.17,-7.57
200011,-23.44,-8.73,-3.54,-3.52,0.25,-8.51,-3.89,-6.58,-9.71,-24.3
200012,-10.88,0.4,0.38,6.7,1.42,6.69,-3.42,2.88,3.12,5.9
200101,35.72,26.16,6.04,11.89,3.58,-2.3,-0.77,-3.25,-6.88,-6.39
200102,-19.84,-21.32,-11.35,-8.13,-5.22,-11.87,-3.6,-1.63,-4.43,-4.58
200103,-17.58,-10.44,-7.22,-7.09,-3.93,-6.22,-5.07,-3.33,-2.21,-2.92
200104,14.89,17.7,8.64,9.27,6.77,2.7,3.92,3.18,4.41,5.68
200105,-5.87,0.62,1.15,1.57,2.24,1.54,4.4,2.96,1.76,3.3
200106,0,-1.76,-2.34,-4.27,-0.28,-0.82,-2.82,-1.82,-2.25,0.98
200107,-6.62,-4.65,-1.5,-0.31,-1.15,-0.44,2.16,1.47,0.49,-2.56
200108,-14.59,-7.75,-6.53,-6.48,-4.06,-2.56,-1.73,-2.05,-3.9,-3.49
200109,-22.89,-14.47,-10.94,-5.65,-4.18,-2.98,-4.18,-6.11,-5,-7.44
200110,15.74,4.87,1.51,1.89,0.13,1.22,0.02,-0.17,0.01,1
200111,20.48,11.98,7.87,7.09,3.97,5.08,5.55,3.78,5.49,4.84
200112,-0.71,-0.12,0.21,2.14,2.21,4.4,2.51,2.76,3.57,4.84
200201,-1.55,-2.24,-3.32,-1.54,-1.03,0.73,1.23,-0.31,-2.03,-0.23
200202,-17.78,-3.22,-1.25,0.31,-0.09,-1.55,2.17,0.41,0.26,-1.93
200203,7.45,3.71,5.27,2.85,4.51,4.69,3.91,3.76,5.91,5.9
200204,-14.03,-7.96,-8.14,-7.01,-5.07,-0.94,-1.6,1.1,-0.76,-0.43
200205,-7.27,-1.46,-1.08,-0.69,0.27,-1.58,0.95,-2.35,0.89,-2.46
200206,-13.72,-8.4,-4.3,-7.43,-8.65,-6.85,-3.25,-6.43,-2.78,-3.44
200207,-6.75,-9.76,-10.15,-6.5,-7.11,-7.88,-5.64,-6.7,-6.52,-11.85
200208,3.69,-2.51,0.84,1.88,1.53,1.04,2.38,0.57,1.86,1.4
200209,-16.38,-16.08,-13.48,-11.62,-8.28,-8.56,-7.2,-7.39,-4.59,-3.11
200210,19.99,9.37,11.42,9.1,2.92,4.7,5.46,3.9,5.03,5.09
200211,22.65,11.72,8.32,5.04,2.77,1.69,3.08,0.19,-2.97,2.25
200212,-14.72,-12.09,-8.23,-7.79,-1.49,-3.19,-3.46,-1.15,0.17,-1.78
200301,-3.66,-1.62,-3.27,-2.24,-3.65,-2.97,-2.96,-2.31,-0.83,-1.01
200302,1.45,-2.71,-2.1,-3.07,-1.82,-0.63,-2.79,-2.53,-1.34,0.38
200303,0.35,0.68,-1.37,1.38,1.46,2.56,0.93,1.15,0.92,3.83
200304,19.76,16.88,12.32,13.28,7.37,5.29,7.21,5.35,5.69,4.62
200305,21.91,12.54,13.7,9.35,6.28,4.54,4.61,1.67,5.24,7.08
200306,2.17,4.7,1.3,2.19,1.47,0.87,-0.36,1.92,1.59,1.67
200307,5.26,4.83,3.38,3.88,1.29,0.85,0.91,3.86,1.81,3.44
200308,3.76,4.28,2.35,1.68,0.72,4.73,1.61,1.29,2.34,4.06
200309,-0.51,-1.09,-0.77,-0.48,0.28,-2.45,-2.58,-2.24,-1.17,-1.47
200310,3.84,5.06,5.38,5.19,1.09,6.63,6.74,8.95,8.37,11.77
200311,0.59,1.87,0.28,1.95,1.84,0.28,0.97,0.8,4.07,3.18
200312,8.65,7.48,6.07,4.93,4.54,3.41,3.47,1.76,1.79,-1.27
200401,2.41,0.83,1.07,3.82,0.72,2.76,2.12,2.14,3.32,3.7
200402,1.98,1.51,1.17,2.55,2.64,1.77,0.88,2.25,-0.53,-0.19
200403,-1.84,-2.87,-0.91,0.01,-2.02,-0.04,-1.1,-0.71,0.72,-1.47
200404,2.5,-0.13,0.01,-1.41,-1.2,-3.52,-3.3,-6.07,-3.48,-7.79
200405,-0.18,0.81,1.84,2.12,-0.41,2.29,3.32,0.62,1.78,2.75
200406,1.09,1.92,1.66,0.95,-0.1,2.24,4.23,4.47,5.01,1.79
200407,-4.42,-2.8,-2.11,-4.46,-2.02,-3.3,-5.61,-6.18,-6.56,-8.74
200408,-0.05,1.49,0.15,0.64,-0.42,1.03,-0.63,-0.42,-0.58,-2.14
200409,2.21,-0.98,-0.79,0.93,0.29,0.85,3.79,4.61,7.6,7.35
200410,5.59,2.61,1.09,1.13,2.1,-1.1,0.77,0.68,2.69,1.93
200411,4.38,1.32,3.75,5.63,3.89,4.39,5.89,5.86,7.2,9.88
200412,7.37,2.95,4.68,4.97,3.35,3.58,3.06,2.07,0.91,2.09
200501,-6.81,-2.05,-3.16,-1.95,-1.7,-1.01,-2.48,-0.46,-1.84,-4.11
200502,4.13,0.4,-0.82,0.17,0.48,0.9,8.07,4.87,2.1,5.46
200503,-2.9,-3,-1.69,-2.17,-0.88,-0.52,-1.36,-2.44,-1.12,-1.6
200504,-3.26,-0.76,-2.76,-2.65,-1.93,-0.08,-2.57,-1.62,-5.05,-6.47
200505,5.87,5.37,1.78,2.91,4.26,4.07,1.96,4.9,2.8,6.55
200506,0.26,-0.01,0.21,0.25,-0.64,-0.49,0.49,1.6,3.01,5.57
200507,7.1,4.17,3.49,4.53,2.56,4.18,3.25,3.66,5.83,6.03
200508,-3.06,-3.2,0.42,-1.52,-2.34,-0.38,-0.39,0.52,1.31,1.03
200509,-2.2,-0.49,-0.12,-0.88,0.93,2.49,0.83,2.34,3.27,3.88
200510,-2.25,0.81,-0.27,-0.54,-0.27,-3.51,-5.15,-1.62,-4.37,-2.79
200511,3.5,3.77,3.58,4.69,4.7,2.81,3.68,5.54,3.47,3.16
200512,-0.28,1.22,-1.35,-0.65,-0.1,-0.43,0.84,-0.16,1.16,1.8
200601,6.69,4.86,2.15,-1.13,1.68,2.53,3.41,2.76,5.93,9.93
200602,-1.08,0.81,1.27,0.64,1.76,-0.09,1.63,0.11,-0.4,-5.33
200603,1.86,1.9,2.7,0.55,0.76,0.81,1.4,2.15,2.41,4.59
200604,0.87,0,1.45,1.49,0.47,2.08,0.79,1.08,0.22,1.94
200605,-1.66,-1.59,-0.79,-2.45,-2.82,-3.48,-4.12,-4.12,-5.77,-7.98
200606,-0.29,-1.01,-0.85,0.52,0.03,0.97,0.31,0.57,1.27,-0.7
200607,-5.04,1.96,0.17,-1.79,1.74,2.68,-0.67,-0.3,-3.27,-6.32
200608,6.68,2.37,4.46,3.77,4.57,1.24,1.82,1.43,1.18,-2.04
200609,2.25,2.15,3.4,2.38,3.23,1.14,1.78,1.52,2.42,1.94
200610,5.73,4.77,3.51,4.31,3.24,3.53,1.39,4.76,2.69,6.47
200611,5.41,3.3,1.8,1.75,1.83,0.19,2.36,1.82,2.85,2.23
200612,-0.81,-0.27,0.85,1.79,2.7,2.29,0.8,0.79,1.34,0.86
200701,2.73,2.57,0.98,0.34,2.18,1.91,1.57,2.72,1.54,3.17
200702,-0.28,1.25,-1.66,-0.33,-2.61,-0.4,-1.86,-2.78,-1.69,-2.71
200703,-1.23,-0.77,0.57,0.37,0.32,-0.14,1.4,2.33,3.86,1.95
200704,3.87,4.43,4.49,3.5,4.94,4.4,3.18,4.26,4.22,2.15
200705,3.24,3.98,3.54,3.62,2.81,4.56,3.06,4.09,2.79,5.36
200706,-3.03,-2.37,-0.55,-1.6,-1.92,-1.15,-1.77,-1.3,-1.73,-1.48
200707,-4.49,-5.01,-6.6,-3.28,-2.49,-3.96,-4.5,-1.35,-2.87,-1.62
200708,-1.1,2.78,1.81,1.13,1.14,0.48,1.62,2.13,2.12,1.89
200709,1.58,1.13,1.1,1.75,2.66,3.46,3.92,6,4.37,7.97
200710,-1.01,-1.25,-1.3,-0.09,4.21,0.9,3.77,3.52,1.47,7.8
200711,-13.44,-8.64,-3.92,-4.3,-5.92,-2.11,-2.49,-3.68,-5.22,-6.03
200712,-6.9,-6.84,-5.96,-4.01,-1.93,-1.21,-0.85,2.58,0.7,4.36
200801,3.93,-1.91,-2.66,0.33,-2.02,-4.59,-6.4,-7.11,-8.74,-13.2
200802,-12.55,-7.93,-8.29,-7.59,-1.67,-2.42,-2.77,-3.26,-0.38,2.1
200803,-10.24,-5.82,-4.05,-0.32,-1.65,-1.84,1.46,1.28,-0.63,-0.18
200804,8.29,7.86,5.52,4.68,4.96,1.11,0.79,4.71,5.71,9.72
200805,-2.52,-0.69,-0.82,0.94,-0.54,3.17,2.47,2.17,1.6,6.99
200806,-19.47,-19.27,-17.29,-12.3,-9.25,-10.25,-9.3,-6.94,-4.8,-0.48
200807,0.42,0.86,7.79,2.38,4.01,3.44,-1.22,0.66,-3.06,-9.54
200808,-5.02,3.15,6.42,2.52,3.24,2.44,3.16,0.8,0.84,-2.89
200809,-23.47,-12.46,-6.67,-10.02,-7.17,-6.08,-2.56,-7.19,-12.03,-15.19
200810,-26.01,-25.43,-23.1,-18.63,-13.83,-17.04,-15.17,-14.36,-16.22,-14.96
200811,-20.2,-17.54,-12.58,-5.42,-8.98,-7.52,-0.81,-5.49,-8.67,-8.53
200812,3.98,9.09,4.43,3.62,2.52,1.47,2.27,-0.81,0.71,0.76
200901,-8.29,-10.03,-6.33,-7.89,-12.79,-8.18,-5,-8.04,-5.97,-12.08
200902,-26.13,-16.96,-8.61,-16.57,-8.79,-8.54,-9.81,-9.41,-11.32,-4.56
200903,44.49,14.55,15.13,11.64,12.95,10.51,9.76,8.72,4.46,4.85
200904,44.89,36.02,33.14,21.54,21.06,15.48,9.72,4.65,3.19,-0.32
200905,21.65,16.93,11.13,9.99,9.01,6.97,1.92,4.5,1.35,1.8
200906,-6.32,-1.74,-6.89,-1.08,-0.26,1.1,2.08,0.53,2.01,3.08
200907,12.32,13.16,10.71,10.69,10.04,8.22,5.87,6.29,6.91,5.66
200908,25.98,9.49,4.71,5.09,3.48,3.52,2.13,2.4,2.1,0.2
200909,8.84,9.17,5.72,4.99,3.79,5.55,2.65,2.64,3.53,5.02
200910,-13.3,-6.52,-4.14,-1.35,-2.58,-0.9,-1.43,-1.77,-0.8,-4.08
200911,5.01,7,5.22,5.93,4.86,5.65,4.96,4.81,5.61,6.44
200912,1.4,-1.36,2.08,3.18,3.37,3.81,4.08,4.93,5.46,5.45
201001,2,-2.03,0.28,-2.51,-2.39,-4.07,-4.75,-6.16,-8.15,-6.48
201002,1.42,1.57,1.89,1.62,3.07,4.94,5.68,4.05,6.06,8.46
201003,4.88,4.97,4.45,5.02,5.45,5.42,8.46,11.42,10.3,8.63
201004,0.68,0.71,2.71,0,1.24,1.65,3.05,5.87,3.69,7.05
201005,-8.62,-7.51,-7.72,-6.42,-7.89,-8.88,-8.05,-8.29,-7.42,-9.9
201006,-6.47,-3.61,-3.99,-3.02,-5.28,-7.87,-7.3,-6.66,-6.71,-10.99
201007,6.95,7.27,7.24,5.69,5.57,6.42,8.9,8.09,7.68,10.22
201008,-4.28,-4.39,-4.5,-6.15,-4.13,-4.7,-3.4,-4.22,-6.04,-5.33
201009,10.96,8.6,9.69,8.59,9.66,7.43,9.77,9.79,12.48,13.76
201010,3.89,2.62,1.7,5.74,3.71,4.22,2.93,2.91,5.02,5.51
201011,-0.99,-0.31,0.35,-0.99,0.12,0.49,-0.01,2.36,1.55,6.22
201012,13.95,8.21,6.92,6.62,7.25,4.84,5.55,6.55,6,4.39
201101,4.11,2.9,0.69,3.39,2.6,0.05,1.84,-0.69,2.52,0.63
201102,1.07,0.95,3.05,4.19,3.27,5.84,5.74,3.9,3.38,4.01
201103,-1.67,-1.47,0.16,-0.37,1.58,0.69,0.36,1.54,1.18,2.91
201104,-0.14,4.39,2.39,1.85,3.57,3.57,3.91,2.78,1.58,3.26
201105,-3.57,-1.02,0.18,-1.65,-0.88,-0.86,-1.1,-1.65,-1.52,-2.91
201106,-5.32,-1.56,-2.54,-1.8,-1.12,-2.11,-1.16,-2.07,-0.85,0.02
201107,-4.15,-1.38,-1.07,-3.86,-4.13,-0.07,-3.35,-3.55,-1.51,-1.58
201108,-13.89,-7.8,-3.81,-4.6,-4.67,-3.75,-5.89,-5.96,-7.93,-8.66
201109,-11.83,-7.84,-6.31,-5.31,-6.88,-6.9,-6.27,-9.12,-7.8,-15.9
201110,15.82,16.88,13.2,12.3,11.23,8.54,11.33,9.17,10.23,14.45
201111,-7.64,-4.12,-0.63,-1.86,0.99,0.62,-0.33,1.95,1.31,-1.39
201112,-3.12,-1.72,-1.96,1.66,-0.47,2.63,1.67,-0.08,1.73,-1.06
201201,18.43,10.2,10.74,8.06,8.04,3.89,3.11,2.22,3.51,2.63
201202,6.62,5,4.62,3.74,3.75,4.98,3.66,2.72,5.57,5.83
201203,4.1,2.21,2.37,1.87,3.51,1.56,2.44,3.23,4.03,5.07
201204,-6.31,-6.15,-1.55,-2.19,-1.61,-0.84,-0.15,-0.03,0.36,0.37
201205,-13.1,-12.52,-11.1,-8.05,-6.67,-6.49,-5.65,-2.02,-5.03,-4.84
201206,3.48,2.92,4.72,4.01,3.45,4.45,6.11,3.57,4.17,1.98
201207,-2.01,-2.64,-0.15,0.65,-0.78,1.13,1.7,-0.64,1.8,2.53
201208,2.26,5.79,4.32,3.93,5.03,3.21,2.36,1.27,-0.5,3.92
201209,3.53,4.39,4.36,3.61,1.27,1.13,3.3,2.39,2.89,2.22
201210,-4.07,-0.49,-0.17,-1.2,-0.73,-1.73,-3.24,-0.89,-0.68,-6
201211,-1.65,0.47,0.13,1.24,0.53,-0.07,1.2,0.88,0.85,1.66
201212,6.23,3.76,3.44,1.78,2.61,-0.49,0.43,0.78,-0.24,1.97
201301,9.27,7.48,6.42,5.76,5.94,6.98,5.19,6.1,0.75,5.9
201302,-0.73,-0.58,0.37,0.99,1.4,2.04,1.64,1.37,1.8,1.86
201303,5.71,2.33,4.73,3.38,3.8,4.59,2.93,5.11,5.43,5.44
201304,0.82,3.17,-0.05,1.21,1.9,2.24,1.31,2.74,0.58,0.27
201305,4.16,3.56,4.35,1.75,3.15,2.61,2.18,1.97,2.75,4.67
201306,-6.4,-2.03,0.11,-0.25,-1.17,-1.16,0.59,-0.16,-3.01,-4.2
201307,11.98,3.03,3.79,4.15,6.16,5.6,5.5,4.85,8.07,10.11
201308,2.88,-3.21,-3.65,-2.72,-1.57,-3.7,-3.46,-3.02,-2.95,-2.81
201309,1.09,1.96,3.04,3.31,3.79,4.64,4.66,4.9,5.06,7.43
201310,3.65,3.43,3.14,7.04,5.02,4.11,4.12,4.19,3.69,2.32
201311,2.99,2.38,2.79,3.23,3.84,3.43,2.13,3.66,3.8,3.39
201312,2.89,3.63,1.84,1.52,2.65,1.56,3.45,2.14,3.99,2.58
201401,-3.96,-4.58,-5.26,-2.67,-3.96,-2.76,-3.91,-3.33,-1.84,1.1
201402,5.17,3.27,3.99,3.8,4.31,3.93,4.3,5.62,7.69,6.53
201403,1.57,2.23,2,1.39,2.84,1.19,0.76,0.47,-2.38,-6.05
201404,0.89,3.1,1.73,2.19,2.24,-1.79,-1.15,-2.65,-1.88,-3.38
201405,1.8,-0.62,1.55,1.32,1.57,3.04,3.09,2.41,2.9,3.91
201406,6.05,1.58,3.26,1.16,2.47,2.29,2.35,2.28,2.8,5.64
201407,-2.92,-0.41,-1.58,-2.28,-1.44,-3.24,-2.67,-2.29,-2.5,-0.48
201408,5.15,4.37,4.03,4.34,4.36,3.7,4.05,4.13,4.02,5.43
201409,-7.34,-2.83,-1.96,-1.33,-2.04,-1.66,-1.81,-1.49,-1.96,-2.47
201410,2.22,3.46,2.08,0.57,3.03,3.38,3.41,3.43,1.22,2.29
201411,0.25,-0.19,2.81,1.57,3.13,0.36,3.06,2.26,3.27,3.96
201412,-1.36,-1.25,-0.71,0.03,-0.03,0.89,1.21,0.11,0.6,-2.25
201501,-7.77,-5.18,-3.46,-4.48,-5.01,-4.35,-4.52,-2.35,-2.94,0.67
201502,11.34,8.27,7.15,7.48,7.36,6.1,4.54,5.37,5.01,6.19
201503,-4.75,-1.79,-2.13,-1.25,-1.55,-1.33,-1.62,-0.03,-0.43,-0.99
201504,10.74,5.33,3.78,2.77,2.57,1.77,0.21,-0.5,-1.27,-2.45
201505,-8.03,-3.7,-1.38,0.44,-0.11,2.24,2.18,2.58,2.58,4.61
201506,-5.57,-2.97,-3.17,-2.41,-1.61,-2.18,-0.66,-1.61,0.19,-0.54
201507,-18.2,-8.3,-4.93,3.4,1.69,1.27,3.03,3.6,4.94,1.94
201508,-2.81,-6.16,-3.69,-5.72,-6.64,-6.2,-6.41,-6.36,-6.35,-6.43
201509,-15.95,-7.51,-4.4,-4.24,-2.37,-0.93,-2.58,-2.84,-1.88,-3.21
201510,12.29,10.25,7.68,7.16,9.04,7.1,8.76,6.17,6.31,6.94
201511,-4.17,-0.13,-1.26,-0.32,0.65,1.06,0.71,1.03,0.79,1.31
201512,-4.32,-6.58,-5.64,-2.05,-2.57,-3.61,-1.05,-0.66,-0.73,-1.21
201601,-13,-5.1,-7.88,-4.85,-4.11,-7.06,-5.99,-6.83,-4.08,-6.24
201602,3.49,2.66,1.31,3.93,1.71,1.3,-0.13,-1.55,-1.05,-3.23
201603,10.98,12.69,8.63,9.01,8.6,6.39,6.03,6.12,6.1,5.84
201604,18.11,6.53,3.67,5.04,-0.99,2.23,1.89,0.52,-0.17,-1.6
201605,-1.63,0.53,1.66,0.68,2.93,0.96,1.04,1.33,1.87,3.59
201606,-0.17,-2.94,-3.64,-3.95,-1.71,-1.61,0.13,2.47,3.4,0.88
201607,7.94,9.7,6.16,6.05,4.37,4.39,2.6,2.39,3.11,4.25
201608,5.03,2.88,2.61,1.44,1.33,1.62,-0.01,-0.32,-1.71,-1
201609,4.82,1.84,-2.63,1.08,0.4,-0.8,0.45,0.35,-0.74,3.12
201610,-8.79,-3.41,-0.43,0.84,-1.01,-1.32,-3.12,-2.2,-2.18,-5.3
201611,8.7,9.14,10.68,3.9,7.06,2.75,2.99,1.3,2.49,7.54
201612,-0.06,1.06,1.81,2.72,2.03,2.27,2.5,2.08,0.78,-0.42
201701,3.63,2.88,1.7,2.44,2.02,1.28,1.64,1.56,0.77,3.65
201702,2.67,4.53,4.27,2.92,4.34,4.17,2.79,4.26,0.7,0.01
201703,-1.83,-0.01,0.47,0.75,0.94,1.08,-0.96,0.31,-1.66,0.44
201704,1.49,-0.3,0.94,3.5,1.58,0.16,0.82,1.54,0.9,0.23
201705,-4.45,-1.59,1.93,-0.33,1.54,2.65,-0.33,2.68,0.2,3.51
201706,4.76,0.36,1.12,0.69,1.78,0.73,-0.13,1.97,-1.07,0.85
201707,0.91,1.32,1.56,0.85,0.93,0.82,1.01,2.81,4.24,2.99
201708,-3.22,-2.91,-1.46,0.53,-1.16,1.33,0.78,0.97,2.34,0.14
201709,6.99,3.73,4.07,3.28,2.67,2.65,2.08,1.27,0.89,4.23
201710,-3.17,-4.64,1.26,-2.45,0.68,4.99,3.03,2.06,4.45,5.66
201711,10.48,2.88,4.18,3.5,3.81,2.38,2.08,3.79,2.59,3
201712,1.05,4.62,2.64,2.03,2.18,1.23,0.24,1.08,0.18,-0.6
201801,-1.11,3.19,3.13,3.56,3.1,5.33,4.25,8.01,5.34,11.84
201802,-7.29,-6.22,-6.68,-6.3,-5.91,-4.01,-2.28,-2.66,-1.06,-1.44
201803,-0.8,-1.3,0.06,-1.23,-1.38,-1.53,-3.35,-2.87,-2.47,-3.19
201804,2.93,-0.11,-1.71,0.6,1.18,0.87,-0.34,-0.26,1.03,1.39
201805,0.91,-0.59,0.6,1.45,2.18,2.58,3.21,1.04,4.44,7.3
201806,4.09,4.07,1.21,0.97,-0.57,0.42,0.49,-0.06,-0.87,0.49
201807,2.25,3.17,6.23,3.55,4.63,5.45,4.17,0.74,3.48,0.94
201808,0.07,1.34,1.06,0.26,2.87,2.03,1.29,7.54,6.12,10.01
201809,-1.05,-0.04,0.49,1.06,-0.3,-0.27,0.13,-0.13,1.75,-0.63
201810,-8.99,-6.68,-5.19,-6.68,-4.8,-6.1,-5.75,-7.41,-7.15,-15.79
201811,-0.8,0.82,1.61,3.43,4.38,3.7,3.03,-2.46,1.26,1.65
201812,-11.91,-13.08,-9.2,-11.05,-9.41,-10.22,-8.74,-8.45,-8.9,-8.34
201901,19.73,18.03,14.69,11.13,8.93,7.62,6.44,6.46,6.25,10.84
201902,7,1.98,2.75,3.27,3.79,2.5,3.61,2.18,5.16,5.04
201903,2.94,-1.11,-0.67,-1.47,1.94,1.3,0.73,3.38,1.83,0.49
